,precision,recall,f1-score,support
0,0.7821782178217822,0.8186528497409327,0.8,1930.0
1,0.7953615279672579,0.786774628879892,0.7910447761194029,2223.0
2,0.9052890528905289,0.908641975308642,0.906962415280345,2430.0
3,0.8531889290012034,0.782560706401766,0.816350028785262,906.0
accuracy,0.8340232340766457,0.8340232340766457,0.8340232340766457,0.8340232340766457
macro avg,0.8340044319201931,0.8241575400828082,0.8285893050462525,7489.0
weighted avg,0.8346286827702402,0.8340232340766457,0.8340264831785443,7489.0
