,precision,recall,f1-score,support
0,0.7888944472236118,0.8170984455958549,0.8027487910409773,1930.0
1,0.8032786885245902,0.8155645524066577,0.809375,2223.0
2,0.9201663201663202,0.9106995884773662,0.9154084798345398,2430.0
3,0.8478260869565217,0.7748344370860927,0.8096885813148789,906.0
accuracy,0.8419014554680198,0.8419014554680198,0.8419014554680198,0.8419014554680198
macro avg,0.8400413857177609,0.8295492558914928,0.834305213047599,7489.0
weighted avg,0.8428881560313128,0.8419014554680198,0.8421105958576977,7489.0
