,precision,recall,f1-score,support
0,0.9177215189873418,0.9015544041450777,0.909566126502875,1930.0
1,0.8967798853109836,0.9145299145299145,0.9055679287305123,2223.0
2,0.9557851239669422,0.9518518518518518,0.9538144329896907,2430.0
3,0.9194260485651214,0.9194260485651214,0.9194260485651214,906.0
accuracy,0.9238883696087595,0.9238883696087595,0.9238883696087595,0.9238883696087595
macro avg,0.9224281442075972,0.9218405547729913,0.9220936341970498,7489.0
weighted avg,0.924062233666919,0.9238883696087595,0.9239296570815096,7489.0
