,precision,recall,f1-score,support
0,0.45646196150320806,0.25803108808290154,0.32969215491559084,1930.0
1,0.5925349922239502,0.3427800269905533,0.4343117697349672,2223.0
2,0.6967845659163987,0.8917695473251028,0.7823104693140794,2430.0
3,0.4180819180819181,0.9238410596026491,0.5756533700137552,906.0
accuracy,0.5693684069969288,0.5693684069969288,0.5693684069969288,0.5693684069969288
macro avg,0.5409658594313688,0.6041054305003016,0.5304919409945982,7489.0
weighted avg,0.5701890220822673,0.5693684069969288,0.5373664463578045,7489.0
