,precision,recall,f1-score,support
0,0.8938193343898574,0.8766839378238342,0.8851687156683233,1930.0
1,0.8560378169316717,0.8960863697705803,0.8756043956043956,2223.0
2,0.944954128440367,0.9325102880658436,0.9386909693454847,2430.0
3,0.9230769230769231,0.8874172185430463,0.9048958919527293,906.0
accuracy,0.9018560555481373,0.9018560555481373,0.9018560555481373,0.9018560555481373
macro avg,0.9044720507097048,0.8981744535508261,0.9010899931427332,7489.0
weighted avg,0.9027359603190432,0.9018560555481373,0.9020829117755556,7489.0
